QuestionId,QuestionText,QuestionTextLength
0,"I= Eedi""Ifyou multiply a square number by 9,yousquare number""Is this statement_always truesometimesnever trueImpossible totruesayFodi 2016get",141
1,I= EediHow much bigger isthan;2452411Fodi 2016,46
2,I= EediWhich calculation is equal to _20?2 x (-2) - (~4)*4-28 = (_4) x2(-5)2 + 5(-42) + (-2) + 1Fodi 2016,105
3,I= EediWhat numberbelongs in the box?+7 =2~5Fodi 2016,53
4,EediABCD is a trapezium where AB is parallelto CD.Angle ABC is a right angle_Which sketch below is correctly marked?Ecdi Z018,125
5,I= EediThe area of thisparallelogram is96 cm2m cmWhat is the valueof m?12 cm8416Not enoughinformationFodi 2016,110
6,I= EediTom says: 7 x (2 + 3) = 7x2+3Katie says: 7 x (2 + 3) = 7x2 + 7x 3Who is correct?OnlyOnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016,146
7,I= EediPrime factors of 36Prime factors of 90Here is the completedVenn diagram_What calculationworks out the highestcommon factor of 36and 90?2X2x3x3x3X52X32x3x3X52x3X 5Fodi 2016,178
8,"IF EcdiIfvou can connect dotsOanrenulamhexagonaring =equally spaced dots, which other regularshape can vou definitely draw?Eauilateraiecalcnc Manpic5oianPentarontrianzl",168
9,I= Eedi[cat t2 $20 0What is the areacm10 cmof theparallelogram?cm150 cm250 cm230 cm215 cm2Fodi 2016,99
10,I= EediWhat is the equation ofthis line of symmetry?y =-3.5y = -7y =-2Not possibleto work outEedi ?010,102
11,I= Eedi{zx-8+{2ixiEXZxd _O=oWhat belongs in the boxes?Fodi 2016,63
12,I= EediTom and Katie are arguing about triangles_Tom says a triangle can have two right angles.Katie says only a scalene triangle can have a right angle:Who is correct?OnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016Only,227
13,I= EediWhat is the areaof this shape?20Fodi 2016,48
14,"I= Eediscale]cm608750What is the size of themissing angle, k, on thelarger triangle?4587588 cm120""30""Not enoughinformationFodi 2016Inotto",137
15,I= EediWhat sign would make this statement true?10615Fodi 2016,62
16,I= EediA common multiple of 4 and 6 is.4828do not havecommonmultipleFodi 2016They,81
17,I= EediThis triangle isreflected in the liney =xWhich point is areflection of the redpoint?Fodi 2016,100
18,I= Eedi(-12) x (-9) = 2x (-6) x (-9)Is this.true because oftrue because ofassociativitycommutativitytrue because offalsedistributivityFodi 2016,143
19,I= EediStartingAnswernumber-2How would this calculation be written?(4 - 2x3) = 64 -2x3 = 6(4 -2)*3 = 64 - (2 *3) = 6Fodi 2016,125
20,I= EediHow many lines of symmetry does this shape have?Fodi 2016,64
21,I= EediA group of 8 friends share €6 equally:What fraction ofthe money doeach46Fodi 2016theyget?,96
22,IF Ecdi27 = __*9X3 *3 = _Which numbers belongEJps?,50
23,I= Eedi[cot to sca0)What is the areaof this compoundshape made with5 cmcmrectangles?3 cmcm72 cm239 cm242 cm251 cm2Fodi 2016,123
24,I= EediTaWhich calculation is incorrect?(-7) x2 = -14(-7) x (-2) = -147x2 = 147x (-2) = -14Fodi 2016,100
25,I= EediProblem 1: A box contains 10 crystals. Another box has 12 morecrystals. How many crystals are the in total?Problem 2: A box contains 10 crystals. Another box has 12 timesas many crystals How many crystals are there in total?Which of these problems needs multiplication to solve it?OnlyOnlyBothNeitherProblem 1Problem 2problemsproblemFodi 2016,349
26,I= Eedi5 hours + 500 minutes10 hours8 hours and13 hours and13 hours and20 minutes20 minutes33 minutesFodi 2016,110
27,I= Eedix (_9)3~3~2727Fodi 2016,30
28,"I= Eedi""If15 is a common factor of the numbers Mand N,then5 is also a common factor of the numbers Mand N""Is this statement__always truesometimes truenever trueImpossible to saywithoutmoreinformationFodi 2016",208
29,I= Eedi(-12) + (-3)15-15Fodi 2016,33
30,I= EediTom and Katie are talking about different waysofwritingexpression on the right8g + 20Tom says you could write it as: 2(4g + 10)Katie says you could write it as : 8(g + 5)Who is correct?OnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016theOnly,254
31,I= Eedi(_4) x (-2)Fodi 2016,27
32,I= EediWhat should replace the question mark?23299 *32Fodi 2016,63
33,"I= EediWritten as a decimal, what number is the arrow pointing to?440.3750.30.380.333Fodi 2016",94
34,I= Eedi(-3)3~2727Fodi 2016,26
35,"I= EediWhat is the highest common factor of 6,9 and 18?18Fodi 2016",66
36,I= EediTom and Katie are trying to work out anexpression for the area of the wholetriangle:Tom says vou can do:(p+q)xKatie says you can doWho is correct?OnlyOnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016,212
37,I= EediProblem 1: A bucket contains 423 red balls and 549 blue balls_How many balls are there in total?Problem 2: A bucket contains 423 red balls and 549 blue balls_How many more blue balls than red balls are there?Which of these problems needs multiplication to solve it?OnlyOnlyBothNeitherProblem 1Problem 2problemsproblemFodi 2016,333
38,"I= EediTom and Katie are arguingabout creating inequalities~using the diagram on theright:Tom says: 5g > 4pKatie says: 5g < TrWho is correct?p ,9 ,r and w are positive numbers_OnlyOnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016",235
39,I= EediWhich angle is corresponding to angle pFodi 2016,55
40,"I= EediJo says you can write this as:Think of a number,(n - 5)then subtract 5,+4)next divide by 8,next add 4,and finally multiply byPaul says you can write this as:7((n _ 5) + 8) + 4Who is correct?OnlyBoth JoNeither isPauland PaulcorrectFodi 2016Only",250
41,I= EediWhich length do younot need whencalculating the area ofthe parallelogram?You needthem allFodi 2016,105
42,I= Eediofa litre of paint can cover 1 m? _What area can 4 litres of paint cover?4m29 m216 m?36 m?16Fodi 2016,108
43,IF EcdiWhich of thesefactor of 367,34
44,I= EediJo and Paulare arguing about the[not =sca e)diagram on the right:Jo says it shows:p + q < 909Paul says it shows:p = qWho is correct?OnlyOnlyBoth JoNeither isPauland PaulcorrectFodi 2016,192
45,I= EediWhich number is 5 greater than -2.6?~7.42.62.4~2.1Fodi 2016,66
46,I= EediTom and Katie are trying to write calculationsbased on the diagram on the left:Tom says:Katie says:Double negative six isOne half of negative 12 isWhosenegative twelve:negative 6.calculation is2x (-6) =-12(-12)=6correct?OnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016k-12Only,290
47,"I= Eedi489309[not to sca &,What is the size of angle n?13201420102-3120Fodi 2016",80
48,"I= EediPoint A is reflected in the liney = 4.What are the coordinates ofthe new point?(2,4)(6,6)(2,2)(2,1)Fodi 2016",115
49,IF Ecdiom andkatie are ameuine about aneie relationshipsorDarallclintsTom sJys alled (co-Interior} anales ore equal:Katie says corresponding angles are equal:correct?OnlyCnlyBcth TomNcithcrconrecWno !,200
50,I= EediTom and Katie are arguing about -5 and 3_Tom says: _5 > 3Katie says: the absolute value of -5 is greater than the absolutevalue of 3Who is correct?OnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016Only,213
51,I= EediHere is the 1st shape in a sequence:Here is the 4th shape:Which of the following expressions would correctly give thenumber of dots in the nth shape in the sequence?4n - 14n + 1n + 4n +1Fodi 2016,202
52,I= EediIn which region does 6 belong?Factors of 30Multiples of 12Fodi 2016,74
53,I= EediAmal is trying to work out theanswer to 88 X 1588 X 15Line 1:(11 X 8) X 15Lines 1 and 2 ofher working outare shown:Line 2:(11 x 2x4) x15Which of the following possiblenext steps would help to makethis calculation easier?(22 * 60)(11x 2) x (19)(I1x 2) x (4x 15)(11x 15) x (2 x 4)Fodi 2016,294
54,I= EediJo and Paul are talking about equations theycan write based on the equation on the right:4c = dJo says you could write: 4c = 12 = d - 4Paul says you could write: 12c = 4dWho is correct?OnlyOnlyBoth JoNeither isPauland PaulcorrectFodi 2016,245
55,I= EediThis is a number from theMayan number system.What number is it?11060120Fodi 2016,87
56,"I= Eedi[cat t2 $20 01250Ifthese two dashed lines are parallel, what size mustangle q be?Not enough1259650552informationFodi 2016",128
57,I= Eedia = 0.6b = 0.4What is the value of ab?0.640.241.02.4Fodi 2016,68
58,I= EediWhat fraction of a full circle is a 1500 sector?12315015Fodi 2016,72
59,I= EediThe shaded numbers on thisgrid are the multiples of.12Fodi 2016,70
60,I= EediTom and Katie are arguing about powersTom says 26 = 43Katie says 2682Who is correct?OnlyBoth TomNeither isTomKatieand KatiecorrectFodi 2016Only,150
61,I= Eedia = 0.4b = 0.3What is the value of ab2?0.360.240.01440.036Fodi 2016,74
62,"I= EediThe blue shape is rotated 900 clockwise about (3,0). Which shapegives the correct answer?Fodi 2016",105
63,"EcdipolnisQand(2,7)equallyalong the linesegment;shownin thesketch;The coordlnates ofJndAJre mrkco on tne dijrrjm.Wnat are the coordinatesof 0?(-1,-1)(-2,-3)(-1,-2)(-1,-1,5)spaced",178
